Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x3a42e667d59687fe10dad81fac8e6eef57a144a27c3720e7ca7ddab58e60ed56","Success","Buy Meme Token","47636557","2025-03-20 17:22:35","0x5c952063c7fc8610ffdb798152d69f0b9550762b","","0xae6704fd6f3750e17f0e81a70ed048ca58844ec2","","9,783,903.01355198","$0.00","BEP-20: cliza(CLIZA)"
"0xb20e1b70e327463226fabc443a7e10e370f2c3080c86a1e65540a379e834874e","Success","0x25356bc7","47636557","2025-03-20 17:22:35","0x6aba0315493b7e6989041c91181337b662fb1b90","","0x73d8bd54f7cf5fab43fe4ef40a62d390644946db","","115.84240131","$0.00","BEP-20: Bedrock(BR)"
"0xb20e1b70e327463226fabc443a7e10e370f2c3080c86a1e65540a379e834874e","Success","0x25356bc7","47636557","2025-03-20 17:22:35","0x111111125421ca6dc452d289314280a0f8842a65","1inch: Aggregation Router V6","0x6aba0315493b7e6989041c91181337b662fb1b90","","115.84240131","$0.00","BEP-20: Bedrock(BR)"
"0xb20e1b70e327463226fabc443a7e10e370f2c3080c86a1e65540a379e834874e","Success","0x25356bc7","47636557","2025-03-20 17:22:35","0xde9e4fe32b049f821c7f3e9802381aa470ffca73","","0x04a7da186392640862f7922a2f7a2e9fe7b43b85","","19.66383919","$19.65","Binance-Peg BSC-USD(BSC-USD)"
"0xb20e1b70e327463226fabc443a7e10e370f2c3080c86a1e65540a379e834874e","Success","0x25356bc7","47636557","2025-03-20 17:22:35","0x04a7da186392640862f7922a2f7a2e9fe7b43b85","","0x111111125421ca6dc452d289314280a0f8842a65","1inch: Aggregation Router V6","115.84240131","$0.00","BEP-20: Bedrock(BR)"
"0xb20e1b70e327463226fabc443a7e10e370f2c3080c86a1e65540a379e834874e","Success","0x25356bc7","47636557","2025-03-20 17:22:35","0xb300000b72deaeb607a12d5f54773d1c19c7028d","","0xde9e4fe32b049f821c7f3e9802381aa470ffca73","","19.66383919","$19.65","Binance-Peg BSC-USD(BSC-USD)"
"0xb20e1b70e327463226fabc443a7e10e370f2c3080c86a1e65540a379e834874e","Success","0x25356bc7","47636557","2025-03-20 17:22:35","0x6aba0315493b7e6989041c91181337b662fb1b90","","0xb300000b72deaeb607a12d5f54773d1c19c7028d","","19.66383919","$19.65","Binance-Peg BSC-USD(BSC-USD)"
"0xe37b7be4f47aa7340434e004340689a8150e9d8fa3e01c160fcff0dba68254da","Success","Process Route","47636557","2025-03-20 17:22:35","0x61eb789d75a95caa3ff50ed7e47b96c132fec082","","0xca226bd9c754f1283123d32b2a7cf62a722f8ada","","0.31386865","$194.11","Wrapped BNB(WBNB)"
"0xe37b7be4f47aa7340434e004340689a8150e9d8fa3e01c160fcff0dba68254da","Success","Process Route","47636557","2025-03-20 17:22:35","0xf2614a233c7c3e7f08b1f887ba133a13f1eb2c55","","0x61eb789d75a95caa3ff50ed7e47b96c132fec082","","0.00232058","$194.72","Binance-Peg BTCB Token(BTCB)"
"0xe37b7be4f47aa7340434e004340689a8150e9d8fa3e01c160fcff0dba68254da","Success","Process Route","47636557","2025-03-20 17:22:35","0xca226bd9c754f1283123d32b2a7cf62a722f8ada","","0xf2614a233c7c3e7f08b1f887ba133a13f1eb2c55","","0.00232058","$194.72","Binance-Peg BTCB Token(BTCB)"
"0x723d75b03438a549e2e4b33b705960cd6111429d461fa35d3a41a146b4864041","Success","Transfer","47636557","2025-03-20 17:22:35","0x515b72ed8a97f42c568d6a143232775018f133c8","Binance: Hot Wallet 12","0x85cbd21eb0393a2e367d6ee5271276e7e0fa9cbd","","103.14","$103.08","Binance-Peg BSC-USD(BSC-USD)"
"0x881184052d8907b1b38e797e5c6ee8a3986a1a3b15cb208953d3e18e53799cfa","Success","Transfer","47636557","2025-03-20 17:22:35","0x515b72ed8a97f42c568d6a143232775018f133c8","Binance: Hot Wallet 12","0xc8826d9c36a93e16b8c6ef43234f4c4fc3bc7a34","","250","$249.86","Binance-Peg BSC-USD(BSC-USD)"
