Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x9fa1c9dd7e405c110442f078c250fd1c1a3665950c64984c4fb6761f1414ad30","Success","0x181a8b99","47594507","2025-03-19 06:19:55","0x55dfed7e4498eb96d705a7c80573b025507f46b2","","0x426603bac5e0ea73fd13aecad7a80c9f963f6eac","","6,756.83009472","$0.00","BEP-20: BANANA MASCOT(APE)"
"0x9fa1c9dd7e405c110442f078c250fd1c1a3665950c64984c4fb6761f1414ad30","Success","0x181a8b99","47594507","2025-03-19 06:19:55","0x55dfed7e4498eb96d705a7c80573b025507f46b2","","0xe93c196b05c13763ffae7f72642dc4de4298bc30","","1,905.77259082","$0.00","BEP-20: BANANA MASCOT(APE)"
"0xd8554a3d2ee7f462ef655bf9327ebe1cc467f9c921c793cd13dba5faaa9037ed","Success","0x04b2af49","47594507","2025-03-19 06:19:55","0xb2af49dbf526054faf19602860a5e298a79f3d05","","0x92fc7783bd73b39a90fd4d457926783752d4ae6b","","704.45293136","$0.00","BEP-20: SIREN(SIREN)"
"0x5cf58d575e937cd1a257552bc3f90452eb29c59a75a957dae45390fd8917473d","Success","0xbc73ddf0","47594507","2025-03-19 06:19:55","0xe3971b492a9ce4bd8d396cf2d5319f8c7cdf79e1","","0xaeb563da201b5ce8d84054552c9cd043ea4d044b","","5,867.52567664","$0.00","BEP-20: Build forward(BF)"
"0x5cf58d575e937cd1a257552bc3f90452eb29c59a75a957dae45390fd8917473d","Success","0xbc73ddf0","47594507","2025-03-19 06:19:55","0x85002165df8d61333a09d44ee7def762b13b20a3","","0xe3971b492a9ce4bd8d396cf2d5319f8c7cdf79e1","","5,867.52567664","$0.00","BEP-20: Build forward(BF)"
"0xd0203dde8b4350d74536dcc18d3c3e11bd281e37816899569d1203dd287e47a0","Success","Transfer","47594507","2025-03-19 06:19:55","0x8894e0a0c962cb723c1976a4421c95949be2d4e3","Binance: Hot Wallet 6","0x56d8c6c75e36013c364369962a7fa9e16e85f5a1","","20.7081992","$20.71","Binance-Peg BSC-USD(BSC-USD)"
"0xff71c776a47ed52f3f9a26b4ad9715d701fa36ceb243529d1b164c7c48bd0457","Success","Swap Exact Tokens For Tokens Supporting Fee On Transfer Tokens","47594507","2025-03-19 06:19:55","0xb4e1d24e116e2af1e29a0d89ceffdf6d5f3c10e0","PancakeSwap V2: DD0-BSC-USD","0x1ae9361e6e32376e43b6574cddcd43b6ff64fefb","","40.36592311","$40.36","Binance-Peg BSC-USD(BSC-USD)"
"0xff71c776a47ed52f3f9a26b4ad9715d701fa36ceb243529d1b164c7c48bd0457","Success","Swap Exact Tokens For Tokens Supporting Fee On Transfer Tokens","47594507","2025-03-19 06:19:55","0x1ae9361e6e32376e43b6574cddcd43b6ff64fefb","","0xb4e1d24e116e2af1e29a0d89ceffdf6d5f3c10e0","PancakeSwap V2: DD0-BSC-USD","10.2724046","$0.00","BEP-20: DD0(DD0)"
"0xff71c776a47ed52f3f9a26b4ad9715d701fa36ceb243529d1b164c7c48bd0457","Success","Swap Exact Tokens For Tokens Supporting Fee On Transfer Tokens","47594507","2025-03-19 06:19:55","0x1ae9361e6e32376e43b6574cddcd43b6ff64fefb","","0xd6b6cd623442e37306ce5102c076d3500e0a29bd","","0.31770323","$0.00","BEP-20: DD0(DD0)"
"0xe51b4fe8c269219669bbb3a37ffe996af967ed988f431bf97efe68d4920de6bd","Success","Transfer","47594507","2025-03-19 06:19:55","0x616c3e58bd0dbb5fe85c6a2347e4d4ced743783d","","0xf998ec9424d9128d6db819f07ab81d813d41804a","","2,112.7261325","$2,112.50","Binance-Peg BSC-USD(BSC-USD)"
